"Transaction Date","First Name","Last Name",Title,Symbol,Name,"Transaction Total",Transaction,"Note Text"
2023-09-08,Rohit,Khanna,"US Congressman",LTHM,"Livent Corp",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",MODG,"Topgolf Callaw",8000,Buy,"By Spouse.Traded $1,001 To $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",EWJ,"Japan Ishares ",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",RYDAF,"Shell Plc",8000,Buy,"By Spouse. Traded $1,001 To $15,000 . Is ADR/ADS, but shown as ord equivalent."
2023-09-08,Rohit,Khanna,"US Congressman",LH,"Laboratory Cor",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",MSFT,"Microsoft Corp",8000,Buy,"By Dependent Child. Traded $1,001 To $15,000 ."
2023-09-08,Rohit,Khanna,"US Congressman",SQ,"Block Inc",8000,Sell,"By Dependent Child. Traded $1,001 To $15,000 ."
2023-09-07,Michael,Mccaul,"US Congressman",SF,"Stifel Financi",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2023-09-07,Michael,Mccaul,"US Congressman",SF,"Stifel Financi",75000,Buy,"By Spouse.Traded $50,001 to $100,000 ."
2023-09-07,Michael,Mccaul,"US Congressman",CBD-,"Cia Brasileira",175000,Sell,"By Spouse. Traded $100,001 To $250,000 ."
2023-09-07,Robert,Wittman,"US Congressman",AMT,"American Tower",8000,Buy,"Traded $1,001 to $15,000 ."
2023-09-07,Joshua,Gottheimer,"US Congressman",MA,"Mastercard Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-09-07,Kevin,Hern,"US Congressman",RTX,"Rtx Corp",8000,Buy,"Traded $1,001 to $15,000 ."
2023-09-07,Thomas,Tuberville,"US Senator",PRU,"Prudential Fin",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-07,Thomas,Tuberville,"US Senator",TSN,"Tyson Foods",8000,Sell,"Traded $1,001 to $15,000 ."
2023-09-07,Thomas,Tuberville,"US Senator",AAPL,"Apple Inc",32500,Sell,"Traded $15,001 to $50,000 ."
2023-09-07,Thomas,Tuberville,"US Senator",CLF,Cleveland-Clif,75000,Buy,"Traded $50,001 to $100,000 ."
2023-09-07,Lois,Frankel,"US Congressman",PCAR,"Paccar Inc",8000,Buy,"Traded $1,001 to $15,000 ."
2023-09-07,Rohit,Khanna,"US Congressman",LH,"Laboratory Cor",8000,Buy,"By Spouse. Traded $1,001 to $15,000 ."
2023-09-07,Rohit,Khanna,"US Congressman",MU,"Micron Technol",8000,Sell,"By Spouse. Traded $1,001 to $15,000 ."
2023-09-07,Rohit,Khanna,"US Congressman",MODG,"Topgolf Callaw",8000,Buy,"By Spouse. Traded $1,001 To $15,000 ."
2023-09-07,Rohit,Khanna,"US Congressman",LH,"Laboratory Cor",8000,Buy,"By Dependent Child. Traded $1,001 to $15,000 ."
2023-09-07,Lloyd,Doggett,"US Congressman",JNJ,"Johnson & John",8000,Buy,"Traded $1,001 to $15,000 ."
2023-09-07,Peter,Sessions,"US Congressman",AGAE,"Allied Gaming ",900,Sell,"Price not reported, valued at close. By Spouse."
"Downloaded from Barchart.com as of 11-05-2023 01:04am CDT"
